Mean_Train,STD_Train,Finish Train,Train Steps,Train Steps STD,Mean_Test,STD_Test,Finish Test,Test Steps,Test Steps STD
-6140.089285714285,7366.806748557986,1.0,1147.9017857142858,1239.7629882923866,-6615.535714285715,6365.926007054742,1.0,1230.267857142857,1072.3917276528505
-5757.160714285715,7609.356147150094,1.0,1084.0267857142858,1279.627508997257,-6460.714285714285,7163.296063251603,1.0,1203.625,1204.5951092512964
-6838.044642857143,7198.550615387289,1.0,1266.2232142857142,1211.484451066287,-6759.214285714285,8015.481748988475,1.0,1255.0,1344.5367630313635
-7056.227678571428,8246.39794183659,0.9955357142857143,1301.84375,1383.5071756410312,-7501.178571428572,6748.744637515777,1.0,1378.642857142857,1137.3511115835813
-6890.879464285715,8200.052064769798,0.9955357142857143,1274.5535714285713,1375.85336077083,-7548.535714285715,9202.263743162575,1.0,1382.0714285714287,1547.1072067519024
-6630.415178571428,7789.627089801056,0.9955357142857143,1230.2857142857142,1307.925879347659,-7314.107142857143,7094.015666336993,1.0,1346.232142857143,1195.1478986640618
-6204.5625,7292.440817480173,1.0,1158.1294642857142,1228.8410793986218,-8385.32142857143,9180.823171751506,1.0,1526.3392857142858,1541.4583803841842
-5302.3125,6021.343657196293,1.0,1007.9732142857143,1015.0763470566902,-8997.642857142857,9081.314002681887,1.0,1628.8214285714287,1526.5853715674318
-7094.370535714285,9013.901993252051,0.9955357142857143,1307.294642857143,1511.918909262526,-5999.785714285715,5176.927586879686,1.0,1127.5892857142858,873.6592335194401
-7153.955357142857,7085.731663864553,1.0,1320.625,1192.1643329990206,-5911.285714285715,7170.821654739549,1.0,1108.9107142857142,1208.3642467163397
-7466.705357142857,9381.465448785548,1.0,1370.0669642857142,1575.317748553809,-6011.357142857143,6910.542320119547,1.0,1126.4285714285713,1164.0254025385793
-6831.964285714285,6841.29717744764,1.0,1267.0982142857142,1150.9594131467438,-6314.357142857143,7331.885726129425,1.0,1178.375,1233.750952561508
-6742.3125,7600.283747676852,1.0,1249.3482142857142,1279.3117130332053,-7556.410714285715,9680.02453283636,0.9821428571428571,1385.875,1614.8560535418362
-5901.160714285715,6698.944843024549,1.0,1108.3482142857142,1128.194992564145,-6066.535714285715,8084.795871538055,1.0,1134.9642857142858,1359.9678037718093
-7407.803571428572,8890.966575124845,1.0,1362.4955357142858,1491.873172384325,-7288.714285714285,8717.619772036167,1.0,1340.0535714285713,1465.6502143081514
-7362.589285714285,8498.998939532285,1.0,1353.205357142857,1428.3734264289728,-3860.3571428571427,3575.6058648878525,1.0,764.4464285714286,607.5646326477438
-7012.258928571428,7415.590218593451,1.0,1295.2767857142858,1247.9458350899047,-7131.75,8541.496302191856,1.0,1313.2142857142858,1437.0937154336093
-7475.892857142857,9602.25862321422,1.0,1372.1919642857142,1611.477658672224,-6856.714285714285,6410.764924591085,1.0,1271.017857142857,1079.967980528514
-6822.964285714285,8286.64593738514,1.0,1263.1785714285713,1392.4082761165846,-6278.892857142857,6124.684393264019,1.0,1172.4107142857142,1034.0522019287882
-6735.508928571428,7394.768404679679,1.0,1248.736607142857,1244.5271933905215,-5988.857142857143,7288.8659989754515,1.0,1125.125,1224.4072190029053
-7160.410714285715,9031.823111873424,1.0,1319.955357142857,1515.8664889404772,-6630.964285714285,7892.577548296078,1.0,1230.7142857142858,1327.1058563964039
-6022.955357142857,7254.553275712426,1.0,1128.950892857143,1220.30621972926,-6982.5,6257.743206277666,1.0,1292.0,1055.53831899043
-6088.098214285715,7681.895415125448,1.0,1138.8705357142858,1292.1350328276171,-7127.571428571428,6117.28541236442,1.0,1316.0,1032.0074404493687
-7681.339285714285,8807.229063544468,1.0,1406.982142857143,1479.686507472244,-6034.285714285715,8243.015904635973,1.0,1131.2142857142858,1382.7987240464497
-7271.008928571428,7872.06779990803,1.0,1339.3660714285713,1323.818432033528,-7310.035714285715,8061.91441276354,1.0,1344.9464285714287,1354.7570343534305
-5848.392857142857,6050.938485883738,1.0,1099.736607142857,1020.8536900638895,-6494.035714285715,6013.435005897467,1.0,1212.375,1010.591809685578
-6646.955357142857,8036.756647349806,1.0,1232.9910714285713,1351.4209155521123,-8085.535714285715,8656.243308330133,1.0,1474.4285714285713,1455.1786568904133
-6680.732142857143,8628.157337195202,1.0,1238.0892857142858,1449.389751841218,-7624.928571428572,7811.253017870032,1.0,1398.517857142857,1314.6199069240974
-6609.375,8636.471760303386,1.0,1226.0267857142858,1451.2236613816472,-5560.285714285715,6349.771125555533,1.0,1050.8214285714287,1072.0989444466745
-5969.8125,7288.797958451686,1.0,1119.8392857142858,1225.849454413226,-10102.07142857143,10664.147531159091,1.0,1813.5,1788.0904719041164
-6000.696428571428,6622.532118294664,1.0,1126.1785714285713,1114.9282985777102,-6648.535714285715,8179.91944591031,1.0,1234.1964285714287,1374.4952504678486
-7231.5,8635.906563793487,1.0,1331.65625,1450.921887559845,-6099.428571428572,6654.1773637133465,1.0,1142.5714285714287,1120.3085967896598
-6573.026785714285,7675.043283916828,1.0,1222.075892857143,1289.6670834771894,-5763.0,6291.578044156671,1.0,1085.4285714285713,1061.4530279820417
-5930.973214285715,7834.660138220763,1.0,1112.3214285714287,1317.998961591056,-5544.75,6632.4494404674615,1.0,1048.0357142857142,1117.9740280059812
-6263.8125,7422.76583033485,1.0,1168.1473214285713,1250.1595793466172,-5106.0,4894.666309945376,1.0,974.7678571428571,828.2781190749067
-6873.160714285715,8443.49392659559,1.0,1271.7544642857142,1418.4347250319624,-7525.178571428572,8925.622157400774,1.0,1381.392857142857,1498.3860803088319
-6586.419642857143,6914.580601549775,1.0,1224.1607142857142,1165.1182194276885,-5339.142857142857,6218.182231593581,1.0,1015.3214285714286,1046.9653955794415
-6253.928571428572,7326.565514952962,1.0,1167.3482142857142,1232.7076810668038,-8115.75,8747.347716900085,1.0,1481.75,1468.1945940751275
-6916.5,8408.169210017464,1.0,1277.6517857142858,1413.7569262797456,-6739.5,6287.109081854939,1.0,1251.7857142857142,1058.66873468329
-6271.928571428572,6586.4123386634365,1.0,1171.0580357142858,1110.5613169006658,-7778.464285714285,8004.5193350031195,1.0,1425.2857142857142,1345.9891969727494
-5408.892857142857,6899.885122435454,1.0,1025.34375,1161.272501956463,-7310.678571428572,8767.348269710628,1.0,1345.875,1472.0880464557333
