Mean_Train,STD_Train,Finish Train,Mean_Test,STD_Test,Finish Test
-29.367346938775512,410.09268210170427,0.0,0.0,0.0,0.0
-15.0,209.4636006565341,0.0,0.0,0.0,0.0
-23.642857142857142,330.1545324633943,0.0,0.0,0.0,0.0
-20.892857142857142,291.75287234302965,0.0,0.0,0.0,0.0
-30.377551020408163,424.1994143908176,0.0,0.0,0.0,0.0
-12.306122448979592,171.84564788556472,0.0,0.0,0.0,0.0
-39.076530612244895,545.6740535470728,0.0,0.0,0.0,0.0
-37.392857142857146,522.162833065217,0.0,0.0,0.0,0.0
-23.193877551020407,323.8848736682327,0.0,0.0,0.0,0.0
-25.102040816326532,350.53092354766926,0.0,0.0,0.0,0.0
-26.505102040816325,370.1236072825492,0.0,0.0,0.0,0.0
-2.204081632653061,30.778324994429497,0.0,0.0,0.0,0.0
-22.352040816326532,312.12926342730464,0.0,0.0,0.0,0.0
-32.173469387755105,449.2780495714642,0.0,0.0,0.0,0.0
-26.56122448979592,370.9073146319444,0.0,0.0,0.0,0.0
-18.591836734693878,259.62087101782674,0.0,0.0,0.0,0.0
-22.127551020408163,308.9944340297239,0.0,0.0,0.0,0.0
-30.770408163265305,429.685365836584,0.0,0.0,0.0,0.0
-25.270408163265305,352.8820455958548,0.0,0.0,0.0,0.0
-21.73469387755102,303.5084825839576,0.0,0.0,0.0,0.0
-32.67857142857143,456.33141571602084,0.0,0.0,0.0,0.0
-23.362244897959183,326.2359957164182,0.0,0.0,0.0,0.0
-4.0,55.85696017507576,0.0,0.0,0.0,0.0
-19.433673469387756,271.3764812587546,0.0,0.0,0.0,0.0
-23.9234693877551,334.07306921037036,0.0,0.0,0.0,0.0
-13.260204081632653,185.16867282528304,0.0,0.0,0.0,0.0
-32.8469387755102,458.6825377642062,0.0,0.0,0.0,0.0
-4.561224489795919,63.694033669027746,0.0,0.0,0.0,0.0
-26.729591836734695,373.2584366801301,0.0,0.0,0.0,0.0
-38.57142857142857,538.6206874025162,0.0,0.0,0.0,0.0
-28.46938775510204,397.5533645113811,0.0,0.0,0.0,0.0
-8.433673469387756,117.76984077729622,0.0,0.0,0.0,0.0
-26.729591836734695,373.2584366801301,0.0,0.0,0.0,0.0
-9.83673469387755,137.36252451217612,0.0,0.0,0.0,0.0
-15.28061224489796,213.38213740351011,0.0,0.0,0.0,0.0
-28.18877551020408,393.6348277644051,0.0,0.0,0.0,0.0
-38.683673469387756,540.1881021013068,0.0,0.0,0.0,0.0
-21.678571428571427,302.72477523456246,0.0,0.0,0.0,0.0
-23.25,324.6685810176279,0.0,0.0,0.0,0.0
-17.862244897959183,249.43267547568905,0.0,0.0,0.0,0.0
-21.005102040816325,293.32028704182005,0.0,0.0,0.0,0.0
-13.204081632653061,184.3849654758879,0.0,0.0,0.0,0.0
-15.056122448979592,210.24730800592928,0.0,0.0,0.0,0.0
-17.18877551020408,240.02818728294682,0.0,0.0,0.0,0.0
-34.69897959183673,484.5448802942479,0.0,0.0,0.0,0.0
-25.158163265306122,351.3146308970645,0.0,0.0,0.0,0.0
-33.91326530612245,473.572977402715,0.0,0.0,0.0,0.0
-23.25,324.6685810176279,0.0,0.0,0.0,0.0
-21.790816326530614,304.2921899333527,0.0,0.0,0.0,0.0
-6.8061224489795915,95.04232764483555,0.0,0.0,0.0,0.0
-29.367346938775512,410.09268210170427,0.0,0.0,0.0,0.0
